Statistic,Quarter,Item,value
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),2189
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),964
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),192
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),149
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),408
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Expenditure - ESA2010 Code (TE),16421
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),14415
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),4654
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),2086
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),752
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),436
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),561
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),4579
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),875
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),472
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,Net operating balance - ESA2010 Code  (NOB),4070
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),2006
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government Surplus/Deficit - ESA2010 Code (B9),2064
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,Net acquisition of financial assets,NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,Net incurrence of liabilities,NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,Memo: Net derivative flows on debt interest swap contracts,NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),15456
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),14748
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),708
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,General Government transactions - Revenue - ESA2010 Code (TR),15585
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),14027
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),11613
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),2414
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),691
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),239
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),21
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),607
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,General Government transactions - Expenditure - ESA2010 Code (TE),13658
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),13579
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),4239
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),2054
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),815
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),462
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),324
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),4458
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),986
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),241
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,Net operating balance - ESA2010 Code  (NOB),2006
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),78
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,General Government Surplus/Deficit - ESA2010 Code (B9),1928
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,Net acquisition of financial assets,NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,Net incurrence of liabilities,NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,Memo: Net derivative flows on debt interest swap contracts,NA
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),15853
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),14608
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),1245
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q2,General Government transactions - Revenue - ESA2010 Code (TR),14226
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q2,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),12462
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q2,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),10165
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q2,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),2297
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q2,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),718
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q2,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),464
