Statistic,Quarter,Sectors,value
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q2,Imports of Goods and Services (excluding Factor Income Flows),-59073
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q2,Gross Domestic Product at Market Prices,68007
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q2,Gross National Product at Market Prices,56493
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q2,Modified Final Domestic Demand,40008
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q3,Personal Expenditure on Consumer Goods and Services,24249
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,7325
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q3,Gross Domestic Fixed Capital Formation,16476
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q3,Exports of Goods and Services (excluding Factor Income Flows),82205
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q3,Imports of Goods and Services (excluding Factor Income Flows),-64372
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q3,Gross Domestic Product at Market Prices,69984
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q3,Gross National Product at Market Prices,51412
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q3,Modified Final Domestic Demand,40292
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q4,Personal Expenditure on Consumer Goods and Services,24396
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,7458
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q4,Gross Domestic Fixed Capital Formation,23599
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q4,Exports of Goods and Services (excluding Factor Income Flows),82958
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q4,Imports of Goods and Services (excluding Factor Income Flows),-69885
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q4,Gross Domestic Product at Market Prices,70610
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q4,Gross National Product at Market Prices,54169
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q4,Modified Final Domestic Demand,39812
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q1,Personal Expenditure on Consumer Goods and Services,25373
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,7586
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q1,Gross Domestic Fixed Capital Formation,21505
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q1,Exports of Goods and Services (excluding Factor Income Flows),82319
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q1,Imports of Goods and Services (excluding Factor Income Flows),-71723
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q1,Gross Domestic Product at Market Prices,68596
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q1,Gross National Product at Market Prices,56993
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q1,Modified Final Domestic Demand,41721
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q2,Personal Expenditure on Consumer Goods and Services,25116
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,7614
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q2,Gross Domestic Fixed Capital Formation,27220
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q2,Exports of Goods and Services (excluding Factor Income Flows),82954
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q2,Imports of Goods and Services (excluding Factor Income Flows),-74946
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q2,Gross Domestic Product at Market Prices,69840
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q2,Gross National Product at Market Prices,57970
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q2,Modified Final Domestic Demand,41772
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q3,Personal Expenditure on Consumer Goods and Services,25126
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,7705
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q3,Gross Domestic Fixed Capital Formation,25396
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q3,Exports of Goods and Services (excluding Factor Income Flows),85046
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q3,Imports of Goods and Services (excluding Factor Income Flows),-75323
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q3,Gross Domestic Product at Market Prices,69065
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q3,Gross National Product at Market Prices,53652
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q3,Modified Final Domestic Demand,42519
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q4,Personal Expenditure on Consumer Goods and Services,25505
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,7862
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q4,Gross Domestic Fixed Capital Formation,30792
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q4,Exports of Goods and Services (excluding Factor Income Flows),85351
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q4,Imports of Goods and Services (excluding Factor Income Flows),-75936
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q4,Gross Domestic Product at Market Prices,77013
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q4,Gross National Product at Market Prices,62770
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q4,Modified Final Domestic Demand,42818
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q1,Personal Expenditure on Consumer Goods and Services,25752
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,7857
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q1,Gross Domestic Fixed Capital Formation,17291
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q1,Exports of Goods and Services (excluding Factor Income Flows),87783
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q1,Imports of Goods and Services (excluding Factor Income Flows),-65988
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q1,Gross Domestic Product at Market Prices,73588
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q1,Gross National Product at Market Prices,57972
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q1,Modified Final Domestic Demand,43085
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q2,Personal Expenditure on Consumer Goods and Services,25619
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,7900
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q2,Gross Domestic Fixed Capital Formation,57007
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q2,Exports of Goods and Services (excluding Factor Income Flows),88460
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q2,Imports of Goods and Services (excluding Factor Income Flows),-102795
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q2,Gross Domestic Product at Market Prices,76091
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q2,Gross National Product at Market Prices,59349
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q2,Modified Final Domestic Demand,43474
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q3,Personal Expenditure on Consumer Goods and Services,25916
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,8035
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q3,Gross Domestic Fixed Capital Formation,15520
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q3,Exports of Goods and Services (excluding Factor Income Flows),92218
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q3,Imports of Goods and Services (excluding Factor Income Flows),-65650
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q3,Gross Domestic Product at Market Prices,78403
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q3,Gross National Product at Market Prices,63482
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q3,Modified Final Domestic Demand,43609
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q4,Personal Expenditure on Consumer Goods and Services,26013
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,8157
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q4,Gross Domestic Fixed Capital Formation,14740
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q4,Exports of Goods and Services (excluding Factor Income Flows),101094
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q4,Imports of Goods and Services (excluding Factor Income Flows),-67006
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q4,Gross Domestic Product at Market Prices,82507
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q4,Gross National Product at Market Prices,65046
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q4,Modified Final Domestic Demand,44303
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2018Q1,Personal Expenditure on Consumer Goods and Services,26694
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2018Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,8148
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2018Q1,Gross Domestic Fixed Capital Formation,17078
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2018Q1,Exports of Goods and Services (excluding Factor Income Flows),97350
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2018Q1,Imports of Goods and Services (excluding Factor Income Flows),-67680
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2018Q1,Gross Domestic Product at Market Prices,82977
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2018Q1,Gross National Product at Market Prices,64097
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2018Q1,Modified Final Domestic Demand,45418
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2018Q2,Personal Expenditure on Consumer Goods and Services,27021
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2018Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,8386
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2018Q2,Gross Domestic Fixed Capital Formation,18467
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2018Q2,Exports of Goods and Services (excluding Factor Income Flows),103006
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2018Q2,Imports of Goods and Services (excluding Factor Income Flows),-71375
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2018Q2,Gross Domestic Product at Market Prices,85500
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2018Q2,Gross National Product at Market Prices,67481
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2018Q2,Modified Final Domestic Demand,46077
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2018Q3,Personal Expenditure on Consumer Goods and Services,26900
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2018Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,8570
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2018Q3,Gross Domestic Fixed Capital Formation,20091
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2018Q3,Exports of Goods and Services (excluding Factor Income Flows),103723
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2018Q3,Imports of Goods and Services (excluding Factor Income Flows),-75968
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2018Q3,Gross Domestic Product at Market Prices,84778
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2018Q3,Gross National Product at Market Prices,66232
